time,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,visibility,uv_index,is_day,location_name,location_country,latitude,longitude,extracted_at
2026-06-10T00:00,25.5,91,0.0,0.0,0.0,1,47,7.6,270,15.8,1008.8,21300.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T01:00,25.1,93,0.0,0.0,0.0,1,38,7.5,278,15.5,1008.3,18300.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T02:00,24.8,94,0.0,0.0,0.0,1,21,7.8,296,15.5,1008.0,20820.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T03:00,24.6,94,0.0,0.0,0.0,1,24,7.8,302,16.2,1008.0,22060.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T04:00,24.4,95,0.0,0.0,0.0,3,99,7.1,311,15.8,1008.1,17180.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T05:00,24.2,96,0.0,0.0,0.0,3,99,7.5,312,15.1,1008.4,16880.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T06:00,24.5,96,0.0,0.0,0.0,3,94,8.6,311,16.2,1008.8,13260.0,0.0,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T07:00,25.2,93,0.0,0.0,0.0,1,38,5.5,306,17.3,1009.8,14440.0,0.5,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T08:00,26.7,87,0.1,0.1,0.0,51,48,6.7,279,18.0,1010.0,7600.0,1.95,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T09:00,27.8,80,0.3,0.2,0.0,51,40,6.7,256,20.5,1010.4,9460.0,4.0,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T10:00,28.8,75,0.3,0.1,0.0,51,38,6.9,225,20.9,1010.5,5960.0,6.0,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T11:00,29.3,73,0.2,0.2,0.0,51,32,8.5,204,24.8,1009.8,10240.0,7.4,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T12:00,27.7,82,0.2,0.1,0.0,51,97,8.3,200,32.0,1009.5,8860.0,6.75,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T13:00,28.1,80,0.0,0.0,0.0,3,99,11.6,185,30.2,1009.1,32180.0,7.65,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T14:00,28.1,80,0.0,0.0,0.0,3,95,11.3,178,32.0,1008.2,27920.0,5.75,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T15:00,28.0,80,0.0,0.0,0.0,3,99,12.6,194,32.4,1007.6,19220.0,5.95,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T16:00,27.7,81,0.0,0.0,0.0,3,99,12.0,201,33.1,1007.3,17840.0,3.65,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T17:00,27.1,84,0.0,0.0,0.0,3,100,11.5,200,32.8,1007.7,14800.0,2.0,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T18:00,26.9,85,0.0,0.0,0.0,3,100,9.6,201,28.8,1008.0,21600.0,0.55,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T19:00,26.4,88,0.0,0.0,0.0,3,98,7.4,187,20.5,1008.6,23020.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T20:00,26.3,89,0.0,0.0,0.0,3,98,5.4,195,15.1,1009.4,25280.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T21:00,26.2,90,0.0,0.0,0.0,3,99,4.8,205,10.8,1009.9,20660.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T22:00,26.0,91,0.0,0.0,0.0,3,97,3.7,231,10.1,1010.2,24560.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-10T23:00,25.7,93,0.0,0.0,0.0,3,96,4.6,261,9.0,1010.3,13080.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T00:00,24.8,94,0.0,0.0,0.0,3,100,5.1,94,13.0,1010.4,2460.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T01:00,24.0,96,6.2,0.4,0.0,95,100,7.3,123,17.3,1009.7,1660.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T02:00,23.8,95,7.1,2.1,0.0,81,99,14.9,228,29.5,1008.2,3300.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T03:00,23.8,96,0.5,0.4,0.0,53,98,7.3,306,32.0,1007.8,8520.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T04:00,23.7,98,0.0,0.0,0.0,3,99,3.2,317,14.4,1008.5,14960.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T05:00,23.9,98,0.0,0.0,0.0,3,100,3.4,254,6.8,1008.7,16960.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T06:00,24.2,96,0.0,0.0,0.0,3,100,3.5,114,8.3,1009.1,8700.0,0.0,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T07:00,24.5,96,1.7,0.4,0.0,80,98,2.9,248,7.6,1009.6,4860.0,0.1,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T08:00,25.0,96,0.5,0.2,0.0,53,100,3.1,239,20.5,1011.0,6100.0,0.6,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T09:00,25.5,93,0.2,0.2,0.0,51,100,3.7,227,12.6,1011.7,6120.0,2.55,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T10:00,25.9,90,0.6,0.5,0.0,53,100,1.9,241,13.0,1011.5,4740.0,2.0,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T11:00,26.7,84,0.6,0.4,0.0,53,100,5.6,176,15.5,1011.3,4900.0,1.15,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T12:00,28.5,76,0.6,0.5,0.0,53,100,1.8,323,24.5,1010.3,16160.0,3.95,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T13:00,28.7,76,0.0,0.0,0.0,3,96,4.6,231,14.8,1009.3,30320.0,4.6,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T14:00,29.0,75,0.0,0.0,0.0,3,99,8.1,208,22.3,1008.5,31820.0,3.8,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T15:00,28.5,79,0.0,0.0,0.0,3,100,8.9,207,24.1,1008.1,31080.0,2.9,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T16:00,28.0,82,0.0,0.0,0.0,3,98,10.0,197,25.6,1007.8,27540.0,2.55,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T17:00,27.0,85,0.0,0.0,0.0,2,56,10.6,198,27.0,1008.0,25680.0,1.3,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T18:00,27.0,85,0.0,0.0,0.0,2,71,7.9,192,25.2,1008.1,25680.0,0.25,1,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T19:00,26.5,88,0.0,0.0,0.0,3,88,6.9,205,16.6,1008.4,25660.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T20:00,26.3,89,0.0,0.0,0.0,1,48,7.2,202,14.0,1009.2,25660.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T21:00,26.2,89,0.0,0.0,0.0,3,98,9.1,210,18.4,1009.8,25640.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T22:00,26.2,89,0.0,0.0,0.0,3,98,9.0,203,18.4,1010.1,25640.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-11T23:00,26.2,90,0.0,0.0,0.0,3,98,9.0,213,18.4,1010.2,25640.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-12T00:00,26.2,91,0.0,0.0,0.0,3,100,10.6,224,18.7,1009.1,22380.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-12T01:00,26.0,91,0.0,0.0,0.0,3,100,11.6,233,24.1,1008.6,17760.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-12T02:00,25.8,91,0.0,0.0,0.0,3,99,11.0,236,24.1,1008.6,20440.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-12T03:00,25.5,92,0.0,0.0,0.0,2,74,9.4,244,22.3,1008.2,22360.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
2026-06-12T04:00,25.2,93,0.0,0.0,0.0,3,84,7.4,273,18.7,1008.6,20200.0,0.0,0,Accra,Ghana,5.556,-0.1969,2026-06-17T11:29:31.188265+00:00
